Goods name	Goods ID	SKU	Spend	Net total cost	Base Price Sales (Overall)	ROAS (Overall)	ACOS (Overall)	Cost Per Order (Overall)	Sub Order Count (Overall)	Items (Overall)	Impressions (Overall)	Clicks (Overall)	CTR (Overall)	CVR (Overall)	Add to cart count (Overall)	Net Base Price Sales (Overall)	Net ROAS (Overall)	Net ACOS (Overall)	Net Cost Per Order (Overall)	Net Sub Order Count (Overall)	Net Items (Overall)
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602758786692291	DM E7 BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	98	2	2.04%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602483908805147	DM E7 SLV	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	66	1	1.51%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602483908827260	DM E7 RED	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	102	4	3.92%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	603033664646969	DM E7 GRN	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	61	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	603033664617556	DM E7 YLW	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	129	1	0.77%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602758786682031	DM E7 WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	43	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602209030924903	DM E7 PRPL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	96	1	1.04%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Microphone Kit 7Pc All Metal Drummer Mics Tom/Snare & Cymbals Wired Instrument Drums Set	602664297420054	DM E7 BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1,022	43	4.20%	0.00%	11	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Adjustable 24.5" Drummer Chair w 441Lb Capacity	602379042813841		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift Adjustable 25.5" Drummer Chair 441Lb Capacity	603183007022677		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift Adjustable 25.5" Drummer Chair 441Lb Capacity	602328576925738		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603058452969571	PM-286 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603170390568780	PM 286 WH 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603225151375508	PM 817 CH 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	603067311344507	PM 608 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602410181316702	PM 305 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core XLR Microphone Dynamic Mic Karaoke Singing Studio Mics Handheld Microfono	602485343258377	PM 18 2PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne 4" Thick Padded Guitar Stool 441Lb Capacity 20-26” Adjustable Drummer Chair	602545204363317	DS CH BR PR HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Drum Throne w Backrest 4" Padded Stool Airlift 25" Adjustable Drummer Stool 441Lb Capacity	602976580150173		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 6 Inch PA Horn 200W Loud Speaker 8Pcs Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 405 WH 8PCS	602476753307052	HW 405 WH 8PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core PA Horn 200W Loud Speaker 4Pc 6" Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use	602308175834122	HW 405 WH 4PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Tabla Mic Indian Instrument Microphone Set for Bayan Dayan Dholak Mic for Studio Stage Temple	602348575402311		$0.03	$0.03	$39.11	1303.67	0.07%	$0.03	1	1	137	12	8.75%	8.33%	3	$39.11	1303.67	0.07%	$0.03	1	1
5 Core Tabla Mic Indian Instrument Microphone Set for Bayan Dayan Dholak Mic for Studio Stage Temple	602498899253383		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	51	5	9.80%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands BLUE	602562250040497		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Double X Style Adjustable Piano Riser BLUE + Keyboard Piano Bench BLACK	603179483820280	KS 2X BLU+KBB BLK HD	$0.04	$0.04	$0.00	0.00	0.00%	$0.00	0	0	389	7	1.79%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core PA Horn Speaker 500W PMPO Compression Driver in 22 Inch Trumpet Throat Loud Audio System	602705493859355	TRUMPET 22 + DU50	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Z Shape Adjustable Foldable Heavy Duty Key Board Piano DJ Controller Stands	602336395131831	KS Z1 RED HD WHLS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	93	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Z Style Sturdy Adjustable Electric Piano Riser Holder With Wheels BLACK	602790789229419	KS Z1 BLK HD WHLS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Keyboard Stand Z Style Heavy Duty Sturdy Piano Riser Height Adjustable Holder WHITE	603007148217300	KS Z1 WH HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 2-Tier Adjustable Heavy Duty Double X Keyboard Stand for Electric Digital Pianos & DJ Controllers	602254790758221	KS 2X+2T WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	161	3	1.86%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable 19" Guitar Seat Portable	602825182542146	KBB 02 BLK	$0.49	$0.49	$17.69	36.10	2.76%	$0.49	1	1	1,996	52	2.60%	1.92%	6	$17.69	36.10	2.76%	$0.49	1	1
5 Core Keyboard Bench 3" Padded Cushioned Piano Stool Height Adjustable Guitar Seat Folding Portable	603185422907183	KBB BLK HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	318	6	1.88%	0.00%	4	$0.00	0.00	0.00%	$0.00	0	0
5Core Instrument Microphone Professional XLR Cardioid Pencil Stick Condenser Mic Black	602526850102494	INSTRU MIC 100 BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	77	1	1.29%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 8 Inch PA Horn 250W Loud Speaker Pair Bull Horn Loud Audio 8Ohm All Weather Indoor Outdoor Use Bracket and Hardware Included - HW 508 WH 2PCS	602870413948457		$0.00	$0.00	$47.46	∞	0.00%	$0.00	2	2	2,073	76	3.66%	2.63%	14	$47.46	∞	0.00%	$0.00	2	2
5 Core Microphone Dynamic Karaoke XLR Mic Cardioid Unidirectional Handheld Wired Singing Microfono Rugged Design W On Off Switch Built-in Pop Filter Included Mic Clip and XLR Cable - BETA	602475176255656	BETA	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Microphone Dynamic Mic Karaoke Singing Studio XLR Mics Handheld Microfono	603281120152212	A-54	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 18 Inch Subwoofer Speaker 1200 Watts Max 8Ohm Full Range Replacement DJ Sub Woofer	602564296830491	FR 18 190 AL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	6	3	50.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603277898921166	SS HD 2 PK 4.5 FT BLK WB	$0.30	$0.30	$59.97	199.90	0.50%	$0.10	3	3	515	28	5.43%	10.71%	5	$59.97	199.90	0.50%	$0.10	3	3
5Core Guitar Picks Celluloid Light Gauge 0.46mm Pick - Acoustic Electric Bass Guitars	603253370663128	G PICK L PR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603235486117492	SS HD 1 PK 4.5 FT WH WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand 2Pc Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Pole 132Lb w Bag	603225822434017	SS HD 2PK 3FT RED BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core 15" Subwoofer Speaker Pair 450W MAX PA DJ Replacement Audio Sub Woofer 8Ohm Bass Driver	603217769372504	WF 15 140 8OHM 2PCS	$0.05	$0.05	$41.22	824.40	0.12%	$0.05	1	1	527	35	6.64%	2.85%	4	$41.22	824.40	0.12%	$0.05	1	1
5 Core Duet Piano Bench 3.5 Inch Padded Cushioned Stool Wooden Heavy Duty Musician Chair w Storage	603211863845791	PNB DT CML BRWN	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Stool w Comfortable Padded Seat Foot Rest Guitar Holder w 300 Lbs Capacity	603198710496540		$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603196831444135	SS HD 1 PK 4.5 FT SKY BLU WOB	$0.00	$0.00	$37.12	∞	0.00%	$0.00	2	3	477	13	2.72%	15.38%	4	$37.12	∞	0.00%	$0.00	2	3
5Core 12" Subwoofer 1200W PA DJ Sub Woofer Audio Pair 8Ohm w Deep Bass Pro Audio Replacement Loud Speaker	603186094008569	WF 12120 8OHMS 2PCS	$0.59	$0.59	$0.00	0.00	0.00%	$0.00	0	0	897	41	4.57%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 Core Gaffers Tape 2 Inch 30 Yards Professional White Pro Gaff Tape Non Reflective Water Resistant	603183409691461	GFF TP WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Tweeter 3.25" x 3.25" 40W Component Square Driver Replacement Super Horn	603176698744225	PARENT TW 303	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603133480680362	SS HD 1 PK 4.5 FT GR WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 0.96mm Celluloid Heavy Gauge Pick - Acoustic Electric Bass Guitars PURPLE	603128917275795	G PICK H PR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Duet Piano Bench 3.5 Inch Padded Cushioned Stool Wooden Heavy Duty Musician Chair w Storage	603127038200361	PNB DT PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core DJ Light Stand Stage Lighting Truss System Height Adjustable 39 to 100" Heavy Duty T bar Mount	603083014798815	LS 100-6	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	4	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	603064761160811	SS HD 1 PK 4.5 FT YLW WOB	$0.00	$0.00	$11.25	∞	0.00%	$0.00	1	1	114	1	0.87%	100.00%	0	$11.25	∞	0.00%	$0.00	1	1
5 Core Gaffers Tape 2 Inch 30 Yards Professional Brown Pro Gaff Tape Non Reflective Water Resistant	603011074070887	GFF TP BRWN	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic Gold	603000605113920	RTRO MIC GLD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602997115478826	SS HD 2 PK 4.5 FT WH WB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602968661293911	SS HD 1 PK 4.5 FT ORG WOB	$0.00	$0.00	$26.41	∞	0.00%	$0.00	2	2	512	13	2.53%	15.38%	3	$26.41	∞	0.00%	$0.00	2	2
5 Core Speaker Stand 2Pc Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Pole 132Lb w Bag	602956313256566	SS HD 2PK 3FT WH BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand Height Adjustable One Hand Trigger Quick Release Portable Key Board DJ Stands	602949870828485	KS 2X HAND	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Gaffers Tape 2 Inch 30 Yards Professional Grey Pro Gaff Tape Non Reflective Water Resistant	602947723315818	GFF TP GRY	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core DJ Light Stand Stage Lighting Truss System Hand Crank Up Heavy Duty Height Adjustable w T bar	602925711636419	LS 110 CRANK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	111	9	8.10%	0.00%	2	$0.00	0.00	0.00%	$0.00	0	0
5 Core Duet Piano Bench 3.5 Inch Padded Cushioned Stool Wooden Heavy Duty Musician Chair w Storage	602912289840872	PNB DT HT PNK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	90	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Lugage Scale Pair Portable Digital Handheld Hanging Baggage Scales 110lbs w Bright Backlit	602895378384630	LS 005 2pk	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core VGA to VGA Cable 6Ft 15 Pin VGA Male to Male Video Transmission Extension Cord	602810552799440	VGA 1001	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand 2Pc Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Pole 132Lb w Bag	602805989405561	SS HD 2PK 3FT BLU BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core 10 inch Slim Under Seat Car Audio Subwoofer 800W Built in Amplifier Sub Woofer Enclosure Box	602800352247592	BTUBE UNDR ST 150	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Drum Mic Kit 7 Pcs Kick Bass Tom Snare Dynamic Microphone Instrument Mics Set	602783172413851	DM 7ACC BLU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Vintage Microphone Classic Dynamic Professional XLR Studio Retro Style Mic	602774582433243	RTRO MIC CH RED	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	2	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Audio Mixer 12 Channel DJ Soundboard USB Interface Bluetooth Mixing Console w 99 DSP Effect	602755255111153	MX 12CH XU	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Alligator Clips Electrical Metal Battery Jumper Clamps Insulated Gator Clip	602749886409348	ALLIGATOR 72 PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar String Winder Cutter Bridge Pin Remover 3In1 Acoustic Electric Guitars Tool	602697172368294	GW 1PK WH	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Mic Stand Adapter 5/8 Male to 3/8 Female Screw Thread Conversion Connector	602687072471573	MS ADP P BLK 12PCS	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 0.96mm Celluloid Heavy Gauge Pick - Acoustic Electric Bass Guitars BLUE	602656470892031	G PICK H BLU 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Gaffers Tape 2 Inch 30 Yards Professional Black Pro Gaff Tape Non Reflective Water Resistant	602649223126550	GFF TP BLK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand 2Pc Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Pole 132Lb w Bag	602595535998440	SS HD 2PK 3FT YLW BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602590704154889	SS HD 1 PK 4.5 FT RED WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	3	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602483330004366	SS HD 1PK 3FT WH WoB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Wireless Headphones Bluetooth Over Ear with Microphone and Volume Control Foldable	602465344810882	HEADPHONE 13 B	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 1.2mm Celluloid Extra Heavy Gauge Pick - Acoustic Electric Bass Guitars RED	602454506731587	G PICK EXH R 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602365755274757	SS HD 1PK 3FT YLW WoB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602348575418613	SS HD 1 PK 4.5 FT BLK WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 36" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602332469291060	SS HD 1PK 3FT BLU WoB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Keyboard Stand 2 Tier Column for 61/76/88 Key board Heavy Duty Aluminum Build Stands	602271970638664	KS C 2TD BLK AL	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	146	8	5.47%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Guitar Picks 0.96mm Celluloid Heavy Gauge Pick - Acoustic Electric Bass Guitars GREEN	602259186417176	G PICK H GR 12PK	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Adjustable 31 to 54" PA DJ Tripod Stands Heavy Duty w 35mm Insert 132 Lbs	602234221916058	SS HD 1 PK 4.5 FT D BLU WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Wireless Microphone Dual Function Wireless - Wired Microphone	602206036141627	WM ND 200	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Tripod Heavy Duty Adjustable Up to 72 Inch DJ Studio Monitor Stands Pole Mount Black	602823001498964	SS HD 1PK BLK WOB	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Instrument Microphone Professional XLR Cardioid Pencil Stick Condenser Mic Grey	603012181419896	INSTRU MIC 100 GREY New	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	88	1	1.13%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Adjustable Speaker Stand Tripod – Height 40 to 72 " Max Load 100 lbs Heavy Duty Portable PA DJ Studio Monitor Mount w 35mm Compatible Insert for Stage & Home Use Yellow - SS ECO 1PK YLW WoB	603121501725136	SS ECO 1PK YLW WoB	$2.34	$2.34	$52.25	22.33	4.47%	$1.17	2	5	2,177	89	4.08%	2.24%	17	$52.25	22.33	4.47%	$1.17	2	5
5 Core Drum Throne 5" Thick Padded Guitar Stool Swivel Adjustable Heavy Duty Music Chair Seat w Luxurious Velvet Top for Adults & Kids with Anti Slip Rubber Feet Yellow- DS CH YLW VEL HD	603039964455736	DS CH YLW VEL HD	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Piano Bench Wooden Height Adjustable Stool Heavy Duty Keyboard Seat with Storage BROWN	603293300425387	PNB WD HD BR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Speaker Stand Height Adjustable Universal PA DJ Tripod Studio Monitor Stands Heavy Duty w 35mm Compatible Insert for Home On Stage In Studio Use w Bag Black	603196126804090	SS HD 2PK BLK BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5Core Speaker Stand Tripod Tall Adjustable 72 Inch DJ Pole Mount Studio Monitor Stands SKY BLUE	603161767045991	SS HD 2 PK SKY BLU BAG	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	1	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
5 Core Piano Bench 3" Padded Cushioned Stool Wooden Heavy Duty Adjustable Musician Chair w Storage Caramel Brown	603138480295224	PNB WD HD CML BR	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	61	1	1.63%	0.00%	1	$0.00	0.00	0.00%	$0.00	0	0
5 CORE Wireless Microphones 4 Channel Dynamic Karaoke Professional UHF Singing Mic System Handheld Cordless Microfonos Inalambricos - WM UHF 04-HM	603064660509878	WM UHF 04-HM	$0.00	$0.00	$0.00	0.00	0.00%	$0.00	0	0	0	0	0.00%	0.00%	0	$0.00	0.00	0.00%	$0.00	0	0
